x1,x2,y1,y2
-0.0217374,-0.0222324,-0.0142183,-0.013496
-0.0222324,-0.0226953,-0.013496,-0.0127895
-0.0226953,-0.0231261,-0.0127895,-0.0120988
-0.0198838,-0.0191034,0.0166392,0.0155828
-0.0191034,-0.0183148,0.0155828,0.0146135
-0.0183148,-0.0175494,0.0146135,0.013802
-0.0175494,-0.0168879,0.013802,0.0131689
-0.0168879,-0.0164305,0.0131689,0.0126574
-0.0164305,-0.0162494,0.0126574,0.0121513
-0.0162494,-0.0163543,0.0121513,0.0115441
-0.0163543,-0.0166906,0.0115441,0.0108045
-0.0166906,-0.0171688,0.0108045,0.00998207
-0.0171688,-0.0177076,0.00998207,0.00914839
-0.0177076,-0.0182609,0.00914839,0.00833383
-0.0198838,-0.0203582,0.0166392,0.0166925
-0.0203582,-0.0207961,0.0166925,0.0165988
-0.0207961,-0.0211695,0.0165988,0.0162861
-0.0211695,-0.0214714,0.0162861,0.0157778
-0.0214714,-0.0217256,0.0157778,0.0151604
-0.00624317,-0.00717355,-0.00456453,-0.0044949
-0.00717355,-0.00795073,-0.0044949,-0.00417687
-0.00795073,-0.00844926,-0.00417687,-0.00350474
-0.00844926,-0.0085885,-0.00350474,-0.00256936
-0.0085885,-0.00834416,-0.00256936,-0.00159541
-0.00834416,-0.00775997,-0.00159541,-0.00081312
-0.00775997,-0.00694625,-0.00081312,-0.000351592
-0.00694625,-0.00604759,-0.000351592,-0.000210459
-0.00604759,-0.00518725,-0.000210459,-0.000303416
-0.00518725,-0.00442073,-0.000303416,-0.000525677
-0.00442073,-0.00372588,-0.000525677,-0.000798447
-0.00624317,-0.00550936,-0.00456453,-0.00378379
-0.00550936,-0.00486693,-0.00378379,-0.00300567
-0.00486693,-0.00436766,-0.00300567,-0.00224268
-0.00436766,-0.00400576,-0.00224268,-0.00150832
-0.00400576,-0.00372588,-0.00150832,-0.000798447
-0.0112019,-0.0127298,0.013532,0.0125029
-0.0127298,-0.0141435,0.0125029,0.0115056
-0.0141435,-0.0153617,0.0115056,0.0105821
-0.0153617,-0.0163517,0.0105821,0.00978387
-0.0163517,-0.0171275,0.00978387,0.00915298
-0.0171275,-0.0177388,0.00915298,0.0086899
-0.0177388,-0.0182609,0.0086899,0.00833383
-0.0112019,-0.00971418,0.013532,0.0134387
-0.00971418,-0.00841108,0.0134387,0.0133027
-0.00841108,-0.00736783,0.0133027,0.0131078
-0.00736783,-0.00650742,0.0131078,0.0128725
-0.0233596,-0.0226557,0.0195462,0.0191114
-0.0226557,-0.0220685,0.0191114,0.0186401
-0.0220685,-0.0216774,0.0186401,0.0180968
-0.0216774,-0.0214997,0.0180968,0.0174607
-0.0214997,-0.0214933,0.0174607,0.016739
-0.0214933,-0.0215888,0.016739,0.0159615
-0.0215888,-0.0217256,0.0159615,0.0151604
-0.0233596,-0.0220897,0.0195462,0.0202014
-0.0220897,-0.0208825,0.0202014,0.0207792
-0.0208825,-0.0197646,0.0207792,0.0212484
-0.0197646,-0.0187104,0.0212484,0.0216415
-0.00647187,-0.0073525,0.00949106,0.00749402
-0.0073525,-0.00818382,0.00749402,0.00565567
-0.00818382,-0.00887456,0.00565567,0.00408663
-0.00887456,-0.009293,0.00408663,0.0028327
-0.009293,-0.00931897,0.0028327,0.00188753
-0.00931897,-0.00891084,0.00188753,0.00121008
-0.00891084,-0.00813868,0.00121008,0.000734599
